last4ccnum,timestamp_purchase,name_location,car_id,start_time_visit,end_time_visit,geometry
9635,2014-01-08 20:45:00,Albert's Fine Clothing,35,2014-01-08 19:48:19,2014-01-08 21:43:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7117,2014-01-09 20:21:00,Albert's Fine Clothing,35,2014-01-09 19:35:35,2014-01-09 20:42:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
6895,2014-01-10 20:11:00,Albert's Fine Clothing,35,2014-01-10 20:08:19,2014-01-10 22:24:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
6901,2014-01-12 16:27:00,Ahaggo Museum,35,2014-01-12 16:26:16,2014-01-12 17:57:01,"POLYGON ((24.873 36.07375, 24.883 36.07375, 24.883 36.07815, 24.873 36.07815, 24.873 36.07375))"
7688,2014-01-13 20:35:00,Albert's Fine Clothing,35,2014-01-13 19:51:01,2014-01-13 20:36:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
3484,2014-01-14 20:05:00,Albert's Fine Clothing,35,2014-01-14 19:12:19,2014-01-14 20:26:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7819,2014-01-15 19:56:00,General Grocer,35,2014-01-15 19:45:22,2014-01-15 21:58:01,"POLYGON ((24.856 36.05875, 24.861 36.05875, 24.861 36.064, 24.856 36.064, 24.856 36.05875))"
7117,2014-01-16 20:08:00,Albert's Fine Clothing,35,2014-01-16 19:13:19,2014-01-16 20:53:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7819,2014-01-16 20:25:00,Albert's Fine Clothing,35,2014-01-16 19:13:19,2014-01-16 20:53:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
1321,2014-01-17 19:44:00,Albert's Fine Clothing,35,2014-01-17 19:26:19,2014-01-17 21:37:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
8156,2014-01-18 18:59:00,Albert's Fine Clothing,35,2014-01-18 18:25:19,2014-01-18 19:41:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
2540,2014-01-19 20:02:00,Albert's Fine Clothing,35,2014-01-19 18:46:19,2014-01-19 20:04:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
9551,2014-01-06 20:26:00,Albert's Fine Clothing,4,2014-01-06 19:57:13,2014-01-06 20:52:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
6895,2014-01-07 20:04:00,Albert's Fine Clothing,4,2014-01-07 19:33:13,2014-01-07 21:25:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7117,2014-01-07 20:10:00,Albert's Fine Clothing,4,2014-01-07 19:33:13,2014-01-07 21:25:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
9635,2014-01-08 20:45:00,Albert's Fine Clothing,4,2014-01-08 19:18:01,2014-01-08 21:02:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
6895,2014-01-10 20:11:00,Albert's Fine Clothing,4,2014-01-10 19:48:01,2014-01-10 20:11:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
8156,2014-01-11 19:27:00,Albert's Fine Clothing,4,2014-01-11 18:28:13,2014-01-11 19:27:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
1877,2014-01-12 19:58:00,Albert's Fine Clothing,4,2014-01-12 18:43:13,2014-01-12 20:46:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7688,2014-01-13 20:35:00,Albert's Fine Clothing,4,2014-01-13 19:31:35,2014-01-13 20:36:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7117,2014-01-16 20:08:00,Albert's Fine Clothing,4,2014-01-16 19:43:13,2014-01-16 21:14:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7819,2014-01-16 20:25:00,Albert's Fine Clothing,4,2014-01-16 19:43:13,2014-01-16 21:14:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
1321,2014-01-17 19:44:00,Albert's Fine Clothing,4,2014-01-17 19:12:13,2014-01-17 20:55:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
9551,2014-01-06 20:26:00,Albert's Fine Clothing,19,2014-01-06 19:24:53,2014-01-06 20:34:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
6895,2014-01-07 20:04:00,Albert's Fine Clothing,19,2014-01-07 19:10:55,2014-01-07 20:06:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7117,2014-01-09 20:21:00,Albert's Fine Clothing,19,2014-01-09 19:24:53,2014-01-09 21:07:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
6895,2014-01-10 20:11:00,Albert's Fine Clothing,19,2014-01-10 19:41:38,2014-01-10 20:13:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
3484,2014-01-14 20:05:00,Albert's Fine Clothing,19,2014-01-14 19:35:01,2014-01-14 21:09:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
9635,2014-01-14 20:50:00,Albert's Fine Clothing,19,2014-01-14 19:35:01,2014-01-14 21:09:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7117,2014-01-15 20:46:00,Albert's Fine Clothing,19,2014-01-15 19:53:01,2014-01-15 21:12:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7117,2014-01-16 20:08:00,Albert's Fine Clothing,19,2014-01-16 19:20:53,2014-01-16 20:46:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
7819,2014-01-16 20:25:00,Albert's Fine Clothing,19,2014-01-16 19:20:53,2014-01-16 20:46:01,"POLYGON ((24.855 36.07375, 24.859 36.07375, 24.859 36.079, 24.855 36.079, 24.855 36.07375))"
