location_name,geometry,Cluster Nummer
Bean There Done That,"POLYGON ((24.85086542 36.08172086, 24.85086542 36.08182801, 24.85096705 36.08182801, 24.85096705 36.08172086, 24.85086542 36.08172086))",16
Abila Scrapyard,"POLYGON ((24.84589546 36.07434876, 24.84589546 36.07443715, 24.84602789 36.07443715, 24.84602789 36.07434876, 24.84589546 36.07434876))",53
Maximum Iron and Steel,"POLYGON ((24.83306528 36.06523446, 24.83306528 36.06534083, 24.83318494 36.06534083, 24.83318494 36.06523446, 24.83306528 36.06523446))",45
Maximum Iron and Steel,"POLYGON ((24.84137818 36.06402993, 24.84137818 36.06410072, 24.8414797 36.06410072, 24.8414797 36.06402993, 24.84137818 36.06402993))",46
Kronos Mart,"POLYGON ((24.84977038 36.06582196, 24.84977038 36.06589457, 24.84983936 36.06589457, 24.84983936 36.06582196, 24.84977038 36.06582196))",14
Roberts and Sons,"POLYGON ((24.85096416 36.06319689, 24.85096416 36.06349309, 24.8523291 36.06349309, 24.8523291 36.06319689, 24.85096416 36.06319689))",6
Kronos Capitol,"POLYGON ((24.84936527 36.05292229, 24.84936527 36.0529704, 24.84941679 36.0529704, 24.84941679 36.05292229, 24.84936527 36.05292229))",7
Coffee Shack,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15
Albert's Fine Clothing,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5
General Grocer,"POLYGON ((24.85648014 36.0603296, 24.85648014 36.06043016, 24.85657552 36.06043016, 24.85657552 36.0603296, 24.85648014 36.0603296))",9
Carly's Coffee,"POLYGON ((24.85788532 36.05852647, 24.85788532 36.05981728, 24.85808225 36.05981728, 24.85808225 36.05852647, 24.85788532 36.05852647))",4
Ahaggo Museum,"POLYGON ((24.87616512 36.07712237, 24.87616512 36.07717359, 24.87621582 36.07717359, 24.87621582 36.07712237, 24.87616512 36.07712237))",26
Jack's Magic Bean,"POLYGON ((24.87328524 36.06749651, 24.87328524 36.06755471, 24.873366 36.06755471, 24.873366 36.06749651, 24.87328524 36.06749651))",0
Chostus Hotel,"POLYGON ((24.89517128 36.07062423, 24.89517128 36.07074329, 24.89528259 36.07074329, 24.89528259 36.07062423, 24.89517128 36.07062423))",22
Hallowed Grounds,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28
Carlyle Chemical Inc.,"POLYGON ((24.88541875 36.05838201, 24.88541875 36.05849041, 24.88556292 36.05849041, 24.88556292 36.05838201, 24.88541875 36.05838201))",49
Coffee Chameleon,"POLYGON ((24.88976575 36.05462322, 24.88976575 36.05469486, 24.88983886 36.05469486, 24.88983886 36.05462322, 24.88976575 36.05462322))",32
Abila Hospital,"POLYGON ((24.8808655 36.05848502, 24.8808655 36.05860144, 24.88092831 36.05860144, 24.88092831 36.05848502, 24.8808655 36.05848502))",47
Gastech,"POLYGON ((24.87956497 36.04802098, 24.87956497 36.04808486, 24.87957691 36.04808486, 24.87957691 36.04802098, 24.87956497 36.04802098))",1
Ouzeri Elian,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13
Guy's Gyros,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50
Katerina's Café,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2
Brew've Been Served,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2
Frydo's Autosupply n' More,"POLYGON ((24.90555346 36.0603222, 24.90555346 36.06044736, 24.90569385 36.06044736, 24.90569385 36.0603222, 24.90555346 36.0603222))",33
Abila Airport,"POLYGON ((24.82586806 36.050888, 24.82586806 36.05103021, 24.82598413 36.05103021, 24.82598413 36.050888, 24.82586806 36.050888))",44
Desafio Golf Course,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))",8
