Cluster Nummer;location_name
13;Bean There Done That
;Abila Scrapyard
;Maximum Iron and Steel
;Maximum Iron and Steel
12,8;Kronos Mart
6;Roberts and Sons
;Kronos Capitol
;Coffee Shack
5;Albert's Fine Clothing
4;General Grocer
4;Carly's Coffee
3;Ahaggo Museum
0;Jack's Magic Bean
18,23;Chostus Hotel
32,29,22;Hallowed Grounds
36;Carlyle Chemical Inc.
25;Coffee Chameleon
34;Abila Hospital
1;Gastech
11;Ouzeri Elian
27,37;Guy's Gyros
2;Katerina's Café
2;Brew've Been Served
26;Frydo's Autosupply n' More
33;Abila Airport
7;Desafio Golf Course
