timestamp,location,price,loyaltynum,geometry,Cluster Nummer
,Brew've Been Served,4.17,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,9.6,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,16.53,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Coffee Shack,11.51,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Hallowed Grounds,12.93,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,4.27,L4034,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,11.2,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,15.39,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,20.74,L2247,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Brew've Been Served,12.74,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
